ID,Date,Entry,Exit,Mode
00000038,14040222,18:02,18:02,fallback
00000038,14040223,08:17,17:34,paired
00000038,14040208,17:11,17:11,fallback
00000038,14040213,08:13,17:24,paired
00000038,14040224,18:00,18:00,fallback
00000038,14040228,08:25,17:04,paired
00000038,14040231,10:14,18:03,paired
00000038,14040227,10:10,18:03,paired
00000051,14040202,08:11,17:12,paired
00000051,14040203,08:05,17:10,paired
00000051,14040206,10:40,17:05,paired
00000051,14040201,10:01,10:01,fallback
00000051,14040209,07:50,16:56,paired
00000051,14040210,08:13,17:03,paired
00000051,14040214,07:55,16:56,paired
00000051,14040216,08:11,08:11,fallback
00000051,14040217,08:04,17:05,paired
00000051,14040220,10:03,18:02,paired
00000051,14040221,08:04,17:05,paired
00000051,14040222,17:57,17:57,fallback
00000051,14040208,17:01,17:01,fallback
00000051,14040213,09:02,09:02,fallback
00000051,14040215,11:06,11:06,fallback
00000051,14040223,08:40,16:56,paired
00000051,14040224,17:53,17:53,fallback
00000051,14040225,08:36,13:31,paired
00000051,14040226,09:07,13:28,paired
00000051,14040228,08:09,17:04,paired
00000051,14040229,09:58,18:00,paired
00000051,14040231,10:07,18:07,paired
00000051,14040227,11:04,11:04,fallback
00000051,14040230,07:56,17:03,paired
00000011,14040202,08:12,08:12,fallback
00000011,14040203,08:34,16:05,paired
00000011,14040206,08:50,18:00,paired
00000011,14040201,17:18,17:18,fallback
00000011,14040207,08:24,17:23,paired
00000011,14040209,08:23,17:22,paired
00000011,14040210,08:29,17:25,paired
00000011,14040214,08:38,17:31,paired
00000011,14040215,10:11,17:09,paired
00000011,14040216,08:18,17:20,paired
00000011,14040217,08:38,17:29,paired
00000011,14040220,18:00,18:00,fallback
00000011,14040221,08:32,17:24,paired
00000011,14040222,18:00,18:00,fallback
00000011,14040208,16:59,16:59,fallback
00000011,14040213,17:07,17:07,fallback
00000011,14040223,08:41,17:17,paired
00000011,14040224,17:55,17:55,fallback
00000011,14040228,08:21,17:41,paired
00000011,14040227,16:27,16:27,fallback
00000013,14040202,08:12,17:32,paired
00000013,14040203,07:53,17:22,paired
00000013,14040206,08:14,17:25,paired
00000013,14040201,17:21,17:21,fallback
